decade	Country	Number of Records	Year	child_mortality	child_mortality_rate	fertility	gdp	gdp_growth	life	pop_growth	population	region
01/01/1980	Albania	1	01/01/1980	78.6	0.0786	3.678	4218	0.004046656	70.218	0.020932	2671300	Europe & Central Asia
01/01/1980	Albania	1	01/01/1981	73	0.073	3.562	4227	0.002133713	70.426	0.020113	2725029	Europe & Central Asia
01/01/1980	Albania	1	01/01/1982	67.8	0.0678	3.46	4237	0.002365744	70.646	0.019289	2777592	Europe & Central Asia
01/01/1980	Albania	1	01/01/1983	62.8	0.0628	3.372	4248	0.002596177	70.886	0.019474	2831682	Europe & Central Asia
01/01/1980	Albania	1	01/01/1984	58.3	0.0583	3.297	4259	0.002589454	71.144	0.020949	2891004	Europe & Central Asia
01/01/1980	Albania	1	01/01/1985	54.3	0.0543	3.233	4267	0.001878375	71.398	0.022963	2957390	Europe & Central Asia
01/01/1980	Albania	1	01/01/1986	50.7	0.0507	3.177	4281	0.003280994	71.615	0.025699	3033393	Europe & Central Asia
01/01/1980	Albania	1	01/01/1987	47.6	0.0476	3.126	4294	0.003036674	71.77	0.027236	3116009	Europe & Central Asia
01/01/1980	Albania	1	01/01/1988	44.9	0.0449	3.075	4307	0.00302748	71.853	0.025303	3194854	Europe & Central Asia
01/01/1980	Albania	1	01/01/1989	42.5	0.0425	3.023	4325	0.004179243	71.87	0.019095	3255859	Europe & Central Asia
01/01/1990	Albania	1	01/01/1990	40.6	0.0406	2.97	4350	0.005780347	71.842	0.010327	3289483	Europe & Central Asia
01/01/1990	Albania	1	01/01/1991	38.8	0.0388	2.917	3081	-0.291724138	71.799	0.000672	3291695	Europe & Central Asia
01/01/1990	Albania	1	01/01/1992	37.3	0.0373	2.867	2877	-0.066212269	71.779	-0.007507	3266983	Europe & Central Asia
01/01/1990	Albania	1	01/01/1993	36	0.036	2.819	3172	0.102537365	71.813	-0.012881	3224901	Europe & Central Asia
01/01/1990	Albania	1	01/01/1994	34.6	0.0346	2.772	3457	0.089848676	71.92	-0.014096	3179442	Europe & Central Asia
01/01/1990	Albania	1	01/01/1995	33.2	0.0332	2.723	3941	0.140005785	72.117	-0.012059	3141102	Europe & Central Asia
01/01/1990	Albania	1	01/01/1996	31.8	0.0318	2.67	4326	0.097690941	72.415	-0.009075	3112597	Europe & Central Asia
01/01/1990	Albania	1	01/01/1997	30.3	0.0303	2.611	3909	-0.096393897	72.796	-0.006649	3091902	Europe & Central Asia
01/01/1990	Albania	1	01/01/1998	28.9	0.0289	2.543	4434	0.134305449	73.235	-0.004161	3079037	Europe & Central Asia
01/01/1990	Albania	1	01/01/1999	27.5	0.0275	2.467	4912	0.107803338	73.713	-0.00205	3072725	Europe & Central Asia
01/01/2000	Albania	1	01/01/2000	26.2	0.0262	2.383	5305	0.080008143	74.2	-0.000283	3071856	Europe & Central Asia
01/01/2000	Albania	1	01/01/2001	24.9	0.0249	2.291	5730	0.080113101	74.664	0.001798	3077378	Europe & Central Asia
01/01/2000	Albania	1	01/01/2002	23.6	0.0236	2.195	5913	0.031937173	75.081	0.004029	3089778	Europe & Central Asia
01/01/2000	Albania	1	01/01/2003	22.5	0.0225	2.097	6274	0.061051919	75.437	0.005477	3106701	Europe & Central Asia
01/01/2000	Albania	1	01/01/2004	21.5	0.0215	2.004	6672	0.063436404	75.725	0.005845	3124861	Europe & Central Asia
01/01/2000	Albania	1	01/01/2005	20.5	0.0205	1.919	7075	0.060401679	75.949	0.005421	3141800	Europe & Central Asia
01/01/2000	Albania	1	01/01/2006	19.5	0.0195	1.849	7476	0.056678445	76.124	0.004713	3156607	Europe & Central Asia
01/01/2000	Albania	1	01/01/2007	18.7	0.0187	1.796	7977	0.067014446	76.278	0.004137	3169665	Europe & Central Asia
01/01/2000	Albania	1	01/01/2008	17.9	0.0179	1.761	8644	0.083615394	76.433	0.003701	3181397	Europe & Central Asia
01/01/2000	Albania	1	01/01/2009	17.3	0.0173	1.744	8994	0.040490514	76.598	0.00356	3192723	Europe & Central Asia
01/01/2010	Albania	1	01/01/2010	16.6	0.0166	1.741	9374	0.042250389	76.78	0.003621	3204284	Europe & Central Asia
01/01/2010	Albania	1	01/01/2011	16	0.016	1.748	9640	0.02837636	76.979	0.003653	3215988	Europe & Central Asia
01/01/2010	Albania	1	01/01/2012	15.5	0.0155	1.76	9811	0.017738589	77.185	0.00354	3227373	Europe & Central Asia
01/01/2010	Albania	1	01/01/2013	14.9	0.0149	1.771	9961	0.015288961	77.392	0.003391	3238316	Europe & Central Asia
01/01/1960	Algeria	1	01/01/1964	247.3	0.2473	7.653	5693		47.953		11654905	Middle East & North Africa
01/01/1960	Algeria	1	01/01/1965	248.2	0.2482	7.655	5916	0.039170912	48.389	0.023003	11923002	Middle East & North Africa
01/01/1960	Algeria	1	01/01/1966	248.9	0.2489	7.657	5478	-0.074036511	48.806	0.025736	12229853	Middle East & North Africa
01/01/1960	Algeria	1	01/01/1967	248.9	0.2489	7.658	5811	0.060788609	49.205	0.028028	12572629	Middle East & North Africa
01/01/1960	Algeria	1	01/01/1968	248	0.248	7.657	6319	0.08742041	49.592	0.029654	12945462	Middle East & North Africa
01/01/1960	Algeria	1	01/01/1969	245.8	0.2458	7.652	6747	0.067732236	49.976	0.030393	13338918	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1970	242.2	0.2422	7.641	7227	0.07114273	50.366	0.030532	13746185	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1971	237.3	0.2373	7.622	6427	-0.110696001	50.767	0.030532	14165889	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1972	230.9	0.2309	7.591	7556	0.175665163	51.195	0.030691	14600659	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1973	223.4	0.2234	7.548	7581	0.003308629	51.67	0.030938	15052371	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1974	214.9	0.2149	7.492	7812	0.030470914	52.213	0.031342	15524137	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1975	205.5	0.2055	7.422	8119	0.039298515	52.861	0.031825	16018195	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1976	195.7	0.1957	7.339	8400	0.034610174	53.656	0.032159	16533323	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1977	185.1	0.1851	7.244	8888	0.058095238	54.605	0.032352	17068212	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1978	173.9	0.1739	7.138	9730	0.094734473	55.697	0.032607	17624756	Middle East & North Africa
01/01/1970	Algeria	1	01/01/1979	161.7	0.1617	7.021	10293	0.057862282	56.907	0.032949	18205468	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1980	148	0.148	6.889	10166	-0.012338482	58.198	0.033272	18811199	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1981	132.6	0.1326	6.741	10160	-0.000590203	59.524	0.033556	19442423	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1982	115.9	0.1159	6.576	10477	0.031200787	60.826	0.033598	20095648	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1983	98.9	0.0989	6.392	10696	0.02090293	62.051	0.033197	20762767	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1984	83.6	0.0836	6.192	10947	0.023466717	63.16	0.032284	21433070	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1985	71.2	0.0712	5.976	11030	0.007581986	64.12	0.031037	22098298	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1986	61.9	0.0619	5.747	10722	-0.027923844	64.911	0.02965	22753511	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1987	55.3	0.0553	5.508	10378	-0.032083566	65.554	0.028345	23398470	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1988	51.2	0.0512	5.263	9888	-0.047215263	66.072	0.027214	24035237	Middle East & North Africa
01/01/1980	Algeria	1	01/01/1989	48.6	0.0486	5.014	10115	0.02295712	66.479	0.026331	24668100	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1990	46.9	0.0469	4.761	10113	-0.000197726	66.796	0.025583	25299182	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1991	45.8	0.0458	4.503	9748	-0.036092159	67.049	0.024956	25930560	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1992	45	0.045	4.238	9693	-0.005642183	67.265	0.024196	26557969	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1993	44.2	0.0442	3.971	9279	-0.042711235	67.468	0.023041	27169903	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1994	43.5	0.0435	3.705	9006	-0.029421274	67.674	0.021391	27751086	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1995	42.6	0.0426	3.449	9168	0.017988008	67.893	0.019477	28291591	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1996	41.8	0.0418	3.207	9375	0.022578534	68.123	0.017506	28786855	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1997	41.2	0.0412	2.987	9322	-0.005653333	68.35	0.015843	29242917	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1998	40.7	0.0407	2.794	9646	0.03475649	68.565	0.014731	29673694	Middle East & North Africa
01/01/1990	Algeria	1	01/01/1999	40.2	0.0402	2.634	9810	0.017001866	68.769	0.014333	30099010	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2000	39.7	0.0397	2.514	9885	0.00764526	68.963	0.014446	30533827	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2001	38.9	0.0389	2.439	10203	0.032169954	69.149	0.014685	30982214	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2002	37.8	0.0378	2.407	10634	0.042242478	69.33	0.014835	31441848	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2003	36.5	0.0365	2.412	11251	0.058021441	69.508	0.015	31913462	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2004	35.1	0.0351	2.448	11575	0.02879744	69.682	0.015122	32396048	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2005	33.6	0.0336	2.507	12077	0.04336933	69.854	0.015199	32888449	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2006	32.1	0.0321	2.58	12088	0.000910822	70.02	0.015309	33391954	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2007	30.7	0.0307	2.656	12289	0.016628061	70.18	0.015412	33906605	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2008	29.5	0.0295	2.725	12314	0.00203434	70.332	0.015378	34428028	Middle East & North Africa
01/01/2000	Algeria	1	01/01/2009	28.4	0.0284	2.781	12285	-0.002355043	70.477	0.015166	34950168	Middle East & North Africa
01/01/2010	Algeria	1	01/01/2010	27.4	0.0274	2.817	12494	0.017012617	70.615	0.014822	35468208	Middle East & North Africa
01/01/2010	Algeria	1	01/01/2011	26.6	0.0266	2.829	12606	0.008964303	70.747	0.014435	35980193	Middle East & North Africa
01/01/2010	Algeria	1	01/01/2012	25.8	0.0258	2.82	12779	0.013723624	70.874	0.014053	36485828	Middle East & North Africa
01/01/2010	Algeria	1	01/01/2013	25.2	0.0252	2.795	12893	0.008920886	71	0.013652	36983924	Middle East & North Africa
01/01/1960	Angola	1	01/01/1964	305.2	0.3052	7.425	4573		34.604		5337063	Sub-Saharan Africa
01/01/1960	Angola	1	01/01/1965	297.55	0.29755	7.43	4840	0.05838618	35.007	0.017626	5431135	Sub-Saharan Africa
01/01/1960	Angola	1	01/01/1966	289.99	0.28999	7.422	5043	0.041942149	35.41	0.017115	5524090	Sub-Saharan Africa
01/01/1960	Angola	1	01/01/1967	282.4	0.2824	7.403	5253	0.04164188	35.816	0.016863	5617242	Sub-Saharan Africa
01/01/1960	Angola	1	01/01/1968	275.28	0.27528	7.375	5093	-0.030458785	36.222	0.017075	5713156	Sub-Saharan Africa
01/01/1960	Angola	1	01/01/1969	268.59	0.26859	7.339	5158	0.012762615	36.627	0.017876	5815282	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1970	262.29	0.26229	7.301	5397	0.046335789	37.032	0.019096	5926333	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1971	259.32	0.25932	7.264	5614	0.040207523	37.439	0.020485	6047736	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1972	256.39	0.25639	7.232	5511	-0.01834699	37.846	0.021818	6179685	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1973	253.49	0.25349	7.208	5831	0.058065687	38.247	0.023061	6322194	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1974	250.63	0.25063	7.192	5880	0.008403361	38.635	0.024138	6474796	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1975	247.79	0.24779	7.185	5454	-0.07244898	38.998	0.025116	6637419	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1976	244.99	0.24499	7.186	5044	-0.075174184	39.324	0.025828	6808850	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1977	242.22	0.24222	7.189	4956	-0.017446471	39.605	0.026603	6989988	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1978	239.48	0.23948	7.194	4572	-0.07748184	39.84	0.027926	7185188	Sub-Saharan Africa
01/01/1970	Angola	1	01/01/1979	236.78	0.23678	7.197	4458	-0.024934383	40.029	0.029929	7400231	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1980	234.1	0.2341	7.2	4443	-0.003364738	40.182	0.032187	7638420	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1981	232.8	0.2328	7.201	4110	-0.074949359	40.311	0.034686	7903368	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1982	231.5	0.2315	7.203	3970	-0.03406326	40.429	0.036492	8191774	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1983	230.2	0.2302	7.205	3996	0.006549118	40.547	0.036611	8491682	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1984	229.1	0.2291	7.207	4099	0.025775776	40.671	0.034736	8786652	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1985	228.3	0.2283	7.208	4117	0.004391315	40.794	0.031742	9065562	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1986	227.5	0.2275	7.206	4135	0.004372116	40.902	0.028348	9322550	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1987	226.9	0.2269	7.202	4319	0.044498186	40.988	0.02577	9562796	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1988	226.5	0.2265	7.194	4455	0.031488771	41.05	0.024771	9799680	Sub-Saharan Africa
01/01/1980	Angola	1	01/01/1989	226.2	0.2262	7.182	4365	-0.02020202	41.1	0.025806	10052567	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1990	226	0.226	7.165	4232	-0.030469645	41.151	0.028101	10335052	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1991	225.9	0.2259	7.143	4056	-0.041587902	41.221	0.030814	10653515	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1992	226	0.226	7.116	3656	-0.098619329	41.329	0.032796	11002910	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1993	225.8	0.2258	7.087	2663	-0.271608315	41.495	0.033522	11371750	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1994	225.5	0.2255	7.054	2669	0.002253098	41.736	0.032643	11742960	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1995	224.8	0.2248	7.019	2859	0.071187711	42.073	0.030839	12105105	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1996	224	0.224	6.984	3091	0.081147254	42.526	0.028717	12452725	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1997	222.6	0.2226	6.949	3246	0.050145584	43.088	0.027264	12792237	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1998	220.8	0.2208	6.913	3376	0.040049291	43.742	0.02705	13138265	Sub-Saharan Africa
01/01/1990	Angola	1	01/01/1999	218.9	0.2189	6.878	3389	0.003850711	44.468	0.028414	13511575	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2000	216.7	0.2167	6.844	3387	-0.000590145	45.234	0.030699	13926373	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2001	214.1	0.2141	6.811	3417	0.008857396	46.004	0.033165	14388244	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2002	211.7	0.2117	6.778	3759	0.100087796	46.743	0.034906	14890474	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2003	209.2	0.2092	6.743	3819	0.015961692	47.425	0.035558	15419943	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2004	206.7	0.2067	6.704	4087	0.070175439	48.036	0.034859	15957460	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2005	203.9	0.2039	6.657	4667	0.141913384	48.572	0.033311	16489021	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2006	200.5	0.2005	6.598	5445	0.166702378	49.041	0.031618	17010366	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2007	196.4	0.1964	6.523	6453	0.185123967	49.471	0.030276	17525367	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2008	192	0.192	6.434	7103	0.100728343	49.882	0.029249	18037964	Sub-Saharan Africa
01/01/2000	Angola	1	01/01/2009	187.3	0.1873	6.331	7039	-0.009010277	50.286	0.02867	18555115	Sub-Saharan Africa
01/01/2010	Angola	1	01/01/2010	182.5	0.1825	6.218	7047	0.001136525	50.689	0.028391	19081912	Sub-Saharan Africa
01/01/2010	Angola	1	01/01/2011	177.3	0.1773	6.099	7094	0.006669505	51.094	0.028117	19618432	Sub-Saharan Africa
01/01/2010	Angola	1	01/01/2012	172.2	0.1722	5.979	7230	0.019171131	51.498	0.027733	20162517	Sub-Saharan Africa
01/01/2010	Angola	1	01/01/2013	167.1	0.1671	5.863	7488	0.035684647	51.899	0.027376	20714494	Sub-Saharan Africa
01/01/1960	Antigua and Barbuda	1	01/01/1964	72.78	0.07278	4.25	5008		63.775		58653	America
01/01/1960	Antigua and Barbuda	1	01/01/1965	69.91	0.06991	4.193	5133	0.024960064	64.149	0.020306	59844	America
01/01/1960	Antigua and Barbuda	1	01/01/1966	66.69	0.06669	4.125	5262	0.025131502	64.511	0.019852	61032	America
01/01/1960	Antigua and Barbuda	1	01/01/1967	63.53	0.06353	4.042	5393	0.024895477	64.865	0.019564	62226	America
01/01/1960	Antigua and Barbuda	1	01/01/1968	60.97	0.06097	3.942	5528	0.025032449	65.213	0.018883	63401	America
01/01/1960	Antigua and Barbuda	1	01/01/1969	58.16	0.05816	3.824	5666	0.024963821	65.558	0.017776	64528	America
01/01/1970	Antigua and Barbuda	1	01/01/1970	55.87	0.05587	3.684	5807	0.024885281	65.898	0.016411	65587	America
01/01/1970	Antigua and Barbuda	1	01/01/1971	53.73	0.05373	3.517	6088	0.048389874	66.232	0.014744	66554	America
01/01/1970	Antigua and Barbuda	1	01/01/1972	51.35	0.05135	3.328	6378	0.047634691	66.558	0.012997	67419	America
01/01/1970	Antigua and Barbuda	1	01/01/1973	49.44	0.04944	3.122	6770	0.061461273	66.875	0.011317	68182	America
01/01/1970	Antigua and Barbuda	1	01/01/1974	47.58	0.04758	2.908	6888	0.017429838	67.181	0.009768	68848	America
01/01/1970	Antigua and Barbuda	1	01/01/1975	45.77	0.04577	2.701	6458	-0.06242741	67.479	0.008308	69420	America
01/01/1970	Antigua and Barbuda	1	01/01/1976	43.98	0.04398	2.514	5885	-0.08872716	67.768	0.007058	69910	America
01/01/1970	Antigua and Barbuda	1	01/01/1977	42.22	0.04222	2.358	6371	0.082582838	68.051	0.005593	70301	America
